pIC50,pIC50_std,smiles
9.721246399,,Cc1cc2oc(CN3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)NC4[C@H](O)Cc5ccccc45)[C@@H](C3)C(=O)NC(C)(C)C)cc2cn1
5.325863149,0.02145646,COc1ccc(cc1)-c1cn(CCC(O)=O)c(C)n1
4.588236803,0.207812141,Cc1ccc2cc(\C=C(/C#N)C(N)=O)c(nc2c1)N1CCCCC1
4.602059991,,COC(=O)C(C)Nc1nc2ccccc2c(=O)o1
5.353371773,0.021474067,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)NC(=O)NCc1ccccc1
6,,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H]1CCCN1C(C)=O)C(=O)N1CCC[C@H]1C(N)=O
5.377649216,0.891228701,CN(C)c1cc(N=NCc2ccccc2)nc(n1)N(C)C
4.077140991,0.109093836,CN(C)CCCNC(=O)C(\NC(=O)c1ccc(C)cc1)=C\c1ccc(o1)-c1ccccc1[N+]([O-])=O
6.327902142,,CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1
5.053195345,0.741059756,Oc1cc(NCCN2CCOCC2)cc2cccnc12
4.801987552,0.114185233,Nc1ccc2C(=O)N(CCCC(O)=O)C(=O)c2c1
6.327902142,,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC)C(=O)C(=O)NCC(=O)NS(=O)(=O)C(F)(F)F
5.301029996,,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)CSCC1CCN2CCC(CO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[NH+]=C2N1)C(=O)N[C@@H]([C@@H](C)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC
5.174315887,0.784422096,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc12
7.537602002,,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](CC(O)=O)NC(=O)CCC(O)=O)C(C)(C)C)C(=O)C(N)=O
8.920818754,,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)C(C)(C)c1cccnc1
4.623423043,,C[C@@H](O)[C@H](NC(=O)[C@H]1CCCN1C(C)=O)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CO)C(O)=O
4.228587287,0.323271241,NCCCCCc1cn(CC(=O)NCCCCCCCCCCC(=O)N2CCN(CC2)c2nc(NCCOCCOCCOCC#C)nc(n2)N2CCN(CC2)C(=O)CCCCCCCCCCNC(=O)Cn2cc(CCCCCN)nn2)nn1
9,,CC(C)[C@]1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(CO)cc2C(C)(C)C)C(=O)O1
8.443697499,0,CC(C)C1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(CO)cc2C(C)(C)C)C(=O)O1
4.533509589,0.754496496,CCCCCCCCCCOC(=O)Cn1c(COc2ccc(Cl)cc2)[n+](C)c2ccccc12
4.718966633,0,Cc1cc(=O)n([nH]1)-c1ccc(O)cc1
4.886056648,,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCC(=O)N[C@H](CO)C(=O)N[C@H]([C@H](C)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
8.327902142,,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1cc2-c3cc4cc(F)ccc4n3COc2cn1)-c1ccc(F)cc1
7.292429824,,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(N)=O
