,episode,step,epsilon,smiles,reward,q,random,loss,logP,ic50,QED,SA,cycles
39,0,39,1.0,FN(C=NI)C(B=S)(C(=S)Cl)P(Cl)B(Br)OSCl,-9.595449702330344,-9.796137,True,6.094550132751465,5.422000000000001,4.953856468200684,0.045344610391075714,-6.739866657446392,-0.0
45,1,5,0.9995,ClBr,-3.211807576902443,-3.0327217999999996,True,8.538784027099611,1.5351,5.411921977996826,0.4491117217266351,-4.178244842026315,-0.0
84,2,38,0.99900025,B#CSC(B(Cl)C=I)(N(P(O)Br)C(Cl)(I)I)N(F)C([SH3])(Cl)OF,-8.67191818328321,-7.8151784,True,4.137245655059815,4.972800000000003,6.548808574676514,0.067583439796029,-7.159680133759763,-0.0
125,3,39,0.998500749875,O=BP1B(B(I)OON=PBS)C2(PSF)C(Cl)=NP2C(Cl)=C1B(Cl)Br,-11.240378847926765,-11.823293,True,0.3809787929058075,6.192500000000001,3.7539725303649902,0.07787586922944198,-7.506892120822578,-0.0
165,4,39,0.9980014995000628,CSN=NC(I)(BCl)B1SON=NP(N=BSCl)PN(Br)S1,-21.798619979131953,-22.713625,True,0.6257483959197998,6.2390000000000025,4.491937637329102,0.039903597750751495,-7.828823572165449,-3.0
205,5,39,0.9975024987503128,FSOC(SC(SON(I)I)B(Cl)I)=C(F)B(Cl)P(SC(Cl)(Br)N=NB(Cl)Br)B(Cl)Cl,-10.416422291338362,-11.512855,True,0.21128500998020167,11.1912,5.0965657234191895,0.013839019744392212,-7.324817171675776,-0.0
245,6,39,0.9970037475009376,BB(S)P(Br)B1SON(Cl)C2(P(F)P=NOP)OC(Cl)(Br)B12,-9.427989119503133,-10.676738,True,0.21850422024726868,4.619400000000003,5.858377933502197,0.09704582637961368,-7.507789126321143,-0.0
285,7,39,0.9965052456271872,FN(I)SP1B=PCN(F)C2(P(SBr)P(S)Cl)B(Cl)C12PP=S,-14.42463154547816,-10.416625,True,0.2132432907819748,8.758000000000001,4.757139682769775,0.07006003691795577,-7.864727084048472,-1.0
325,8,39,0.9960069930043736,B#CN(C#CC(F)=C=B)N=NOC(OF)(SP(B(Br)C(Cl)=C(F)C#N)N(Br)OB)N(Br)C#N,-10.823972061736375,-10.79486,True,0.1162143498659134,2.896460000000001,4.0378127098083505,0.030627832407628293,-7.065354195893075,-0.0
349,9,23,0.9955089895078716,ClSOB(SBr)N(OB(Cl)OBr)P(Cl)OBr,-8.244957386458047,-6.7927446,True,0.08929603546857834,5.409000000000002,5.168298721313477,0.16763931963293632,-6.49683089293075,-0.0
389,10,39,0.9950112350131176,OC(Cl)(Cl)N(B(S)PC#[IH2])N(Cl)C(=BN(OCl)B(Br)SC(OP=S)=PBr)SSBr,-10.23842216535279,-11.849895,True,0.12393255531787872,6.7314000000000025,4.772713661193848,0.018767927021618124,-6.993501358768189,-0.0
429,11,39,0.9945137293956112,FN=NN(F)N(C(=C(S)OB(OCl)P(Cl)B(I)SBr)C(Cl)(Br)OI)N(F)Cl,-8.922189102011998,-16.21518,True,0.800871729850769,7.920500000000002,6.145589351654053,0.024630732592922703,-6.843311307004873,-0.0
469,12,39,0.9940164725309134,FC(=S)B1B=PB(N(Cl)Br)C1(PBr)SSB(NC(=[SH2])Cl)P(Cl)N=C=S,-10.410053056408826,-17.708233,True,1.707449436187744,6.0077000000000025,4.798319339752197,0.04711243856399329,-7.322741719683414,-0.0
509,13,39,0.993519464294648,NC(OC(Br)=PCl)(P(Cl)P(P)I)P(P(Cl)Br)C(Cl)(B(Cl)Br)B(Br)P=I,-9.226174958484817,-16.170668,True,0.4725579619407654,11.9852,5.9346675872802725,0.07780024455687141,-7.275342948666895,-0.0
549,14,39,0.9930227045625007,B#CP(SN(Cl)C(F)(I)P(F)F)C(=PC(O)(Br)B(Br)B(B(B)Br)N(I)SCl)SI,-9.972369961808859,-15.655641000000001,True,0.1747184693813324,8.041100000000004,5.624671936035156,0.04052248903988912,-7.465297301607249,-0.0
589,15,39,0.9925261932102196,FN(Br)OB(Br)B(Br)B(PC(Cl)(SOBr)Sp1[nH][pH]1)B(Cl)SBr,-9.808115555041779,-12.661484,True,0.11159880459308624,7.7265000000000015,5.598088264465332,0.0444677519600148,-7.335402843893192,-0.0
629,16,39,0.9920299301136144,CN(I)N=PNB(SCl)SN(F)SC(I)=PB(BBP=PF)SSI,-10.586559911372877,-19.285652,True,0.0891985148191452,7.752200000000004,4.702953338623047,0.036144960636280414,-7.340239697715104,-0.0
669,17,39,0.9915339151485576,FP(Cl)C(Br)(Br)B(N(Cl)Cl)N(Br)C(Br)(SB=I)C(F)(Br)OB(Cl)P(Cl)N=BBr,-10.146919186454557,-15.519557,True,0.2217859923839569,9.9571,4.996633052825928,0.03706040644998555,-7.175133457790987,-0.0
709,18,39,0.9910381481909832,CN(BBr)C(F)(I)B(B(Cl)C1(F)N=NC1=NF)C(Br)(P=BOB(Cl)Br)B(Cl)Br,-11.026639330887438,-22.862888,True,0.6273446083068848,5.341500000000001,3.736061811447144,0.09822232525973867,-7.440202148039843,-0.0
